,train_feature,fold,layer,condition,accuracy
535,improbable,1,3,improbable,0.5714285714285714
536,improbable,1,3,impossible,0.6428571428571429
537,improbable,1,3,inconceivable,0.7142857142857143
538,improbable,1,3,syntactic,0.8571428571428571
539,improbable,1,3,train,0.8482142857142857
540,improbable,1,4,improbable,0.5714285714285714
541,improbable,1,4,impossible,0.6428571428571429
542,improbable,1,4,inconceivable,0.8214285714285714
543,improbable,1,4,syntactic,0.9285714285714286
544,improbable,1,4,train,0.8214285714285714
545,improbable,1,5,improbable,0.5714285714285714
546,improbable,1,5,impossible,0.5714285714285714
547,improbable,1,5,inconceivable,0.9285714285714286
548,improbable,1,5,syntactic,0.9285714285714286
549,improbable,1,5,train,0.8125
550,improbable,1,6,improbable,0.75
551,improbable,1,6,impossible,0.75
552,improbable,1,6,inconceivable,0.9642857142857143
553,improbable,1,6,syntactic,0.9285714285714286
554,improbable,1,6,train,0.8035714285714286
555,improbable,1,7,improbable,0.75
556,improbable,1,7,impossible,0.7142857142857143
557,improbable,1,7,inconceivable,0.7857142857142857
558,improbable,1,7,syntactic,0.6071428571428571
559,improbable,1,7,train,0.8392857142857143
560,improbable,1,8,improbable,0.7142857142857143
561,improbable,1,8,impossible,0.7142857142857143
562,improbable,1,8,inconceivable,0.7857142857142857
563,improbable,1,8,syntactic,0.6071428571428571
564,improbable,1,8,train,0.8035714285714286
565,improbable,1,9,improbable,0.6071428571428571
566,improbable,1,9,impossible,0.7142857142857143
567,improbable,1,9,inconceivable,0.8571428571428571
568,improbable,1,9,syntactic,0.7857142857142857
569,improbable,1,9,train,0.8125
570,improbable,1,10,improbable,0.6428571428571429
571,improbable,1,10,impossible,0.75
572,improbable,1,10,inconceivable,0.8571428571428571
573,improbable,1,10,syntactic,0.75
574,improbable,1,10,train,0.8125
575,improbable,1,11,improbable,0.7142857142857143
576,improbable,1,11,impossible,0.8571428571428571
577,improbable,1,11,inconceivable,0.8571428571428571
578,improbable,1,11,syntactic,0.8928571428571429
579,improbable,1,11,train,0.8125
580,improbable,1,12,improbable,0.6785714285714286
581,improbable,1,12,impossible,0.8214285714285714
582,improbable,1,12,inconceivable,0.8928571428571429
583,improbable,1,12,syntactic,0.8571428571428571
584,improbable,1,12,train,0.8035714285714286
585,improbable,1,13,improbable,0.7142857142857143
586,improbable,1,13,impossible,0.8571428571428571
587,improbable,1,13,inconceivable,0.7142857142857143
588,improbable,1,13,syntactic,0.8571428571428571
589,improbable,1,13,train,0.8035714285714286
590,improbable,1,14,improbable,0.7142857142857143
591,improbable,1,14,impossible,0.8571428571428571
592,improbable,1,14,inconceivable,0.8571428571428571
593,improbable,1,14,syntactic,0.6785714285714286
594,improbable,1,14,train,0.8303571428571429
595,improbable,1,15,improbable,0.6428571428571429
596,improbable,1,15,impossible,0.7142857142857143
597,improbable,1,15,inconceivable,0.7857142857142857
598,improbable,1,15,syntactic,0.8571428571428571
599,improbable,1,15,train,0.8125
600,improbable,1,16,improbable,0.75
601,improbable,1,16,impossible,0.75
602,improbable,1,16,inconceivable,0.8214285714285714
603,improbable,1,16,syntactic,0.6428571428571429
604,improbable,1,16,train,0.8660714285714286
605,improbable,1,17,improbable,0.6785714285714286
606,improbable,1,17,impossible,0.8214285714285714
607,improbable,1,17,inconceivable,0.8214285714285714
608,improbable,1,17,syntactic,0.7857142857142857
609,improbable,1,17,train,0.8214285714285714
610,improbable,1,18,improbable,0.6428571428571429
611,improbable,1,18,impossible,0.75
612,improbable,1,18,inconceivable,0.8214285714285714
613,improbable,1,18,syntactic,0.7857142857142857
614,improbable,1,18,train,0.8303571428571429
615,improbable,1,19,improbable,0.6428571428571429
